Country,Cases_20200331,GDP_Per_Capita,Population_Density,Doctors_Per_Million
US,161807,,,
Italy,101739,,,
Spain,87956,,,
China,82198,,,
Germany,66885,,,
France,45170,,,
Iran,41495,,,
United Kingdom,22453,,,
Switzerland,15922,,,
Belgium,11899,,,
Netherlands,11817,,,
Turkey,10827,,,
"Korea, South",9661,,,
Austria,9618,,,
Canada,7398,,,
Portugal,6408,,,
Israel,4695,,,
Brazil,4579,,,
Norway,4445,,,
Australia,4361,,,
Sweden,4028,,,
Czechia,3001,,,
Ireland,2910,,,
Denmark,2755,,,
Malaysia,2626,,,
Chile,2449,,,
Romania,2109,,,
Poland,2055,,,
Luxembourg,1988,,,
Ecuador,1962,,,
Japan,1866,,,
Russia,1836,,,
Pakistan,1717,,,
Philippines,1546,,,
Thailand,1524,,,
Saudi Arabia,1453,,,
Indonesia,1414,,,
Finland,1352,,,
South Africa,1326,,,
India,1251,,,
Greece,1212,,,
Iceland,1086,,,
Mexico,993,,,
Panama,989,,,
Peru,950,,,
Dominican Republic,901,,,
Singapore,879,,,
Argentina,820,,,
Colombia,798,,,
Croatia,790,,,
Serbia,785,,,
Slovenia,756,,,
Estonia,715,,,
Diamond Princess,712,,,
Qatar,693,,,
Egypt,656,,,
Iraq,630,,,
United Arab Emirates,611,,,
New Zealand,589,,,
Algeria,584,,,
Morocco,556,,,
Ukraine,548,,,
Bahrain,515,,,
Lithuania,491,,,
Armenia,482,,,
Hungary,447,,,
Lebanon,446,,,
Latvia,376,,,
Andorra,370,,,
Bosnia and Herzegovina,368,,,
Bulgaria,359,,,
Slovakia,336,,,
Costa Rica,330,,,
Tunisia,312,,,
Uruguay,310,,,
Taiwan*,306,,,
Kazakhstan,302,,,
Moldova,298,,,
North Macedonia,285,,,
Azerbaijan,273,,,
Jordan,268,,,
Kuwait,266,,,
Burkina Faso,246,,,
Cyprus,230,,,
San Marino,230,,,
Albania,223,,,
Vietnam,203,,,
Oman,179,,,
Afghanistan,170,,,
Cuba,170,,,
Cote d'Ivoire,168,,,
Senegal,162,,,
Malta,156,,,
Belarus,152,,,
Ghana,152,,,
Uzbekistan,149,,,
Cameroon,139,,,
Honduras,139,,,
Venezuela,135,,,
Nigeria,131,,,
Mauritius,128,,,
Brunei,127,,,
Sri Lanka,122,,,
West Bank and Gaza,116,,,
Cambodia,107,,,
Georgia,103,,,
Bolivia,97,,,
Kosovo,94,,,
Kyrgyzstan,94,,,
Montenegro,91,,,
Trinidad and Tobago,82,,,
Congo (Kinshasa),81,,,
Rwanda,70,,,
Paraguay,64,,,
Liechtenstein,62,,,
Kenya,50,,,
Bangladesh,49,,,
Monaco,49,,,
Madagascar,43,,,
Guatemala,36,,,
Jamaica,36,,,
Zambia,35,,,
Barbados,33,,,
Uganda,33,,,
El Salvador,30,,,
Togo,30,,,
Niger,27,,,
Mali,25,,,
Ethiopia,23,,,
Guinea,22,,,
Congo (Brazzaville),19,,,
Tanzania,19,,,
Djibouti,18,,,
Maldives,17,,,
Haiti,15,,,
Bahamas,14,,,
Burma,14,,,
Equatorial Guinea,12,,,
Eritrea,12,,,
Mongolia,12,,,
Dominica,11,,,
Namibia,11,,,
Syria,10,,,
Eswatini,9,,,
Grenada,9,,,
Saint Lucia,9,,,
Guinea-Bissau,8,,,
Guyana,8,,,
Laos,8,,,
Libya,8,,,
Mozambique,8,,,
Seychelles,8,,,
Suriname,8,,,
Angola,7,,,
Antigua and Barbuda,7,,,
Gabon,7,,,
Saint Kitts and Nevis,7,,,
Zimbabwe,7,,,
Benin,6,,,
Cabo Verde,6,,,
Holy See,6,,,
Sudan,6,,,
Chad,5,,,
Fiji,5,,,
Mauritania,5,,,
Nepal,5,,,
Bhutan,4,,,
Gambia,4,,,
Nicaragua,4,,,
Belize,3,,,
Botswana,3,,,
Central African Republic,3,,,
Liberia,3,,,
Somalia,3,,,
MS Zaandam,2,,,
Papua New Guinea,1,,,
Saint Vincent and the Grenadines,1,,,
Timor-Leste,1,,,